window	n	s	window_end	n_recovered_in_win	clade
16	20.0	6.0	34.0	21.0	0
19	20.0	9.0	40.0	27.0	0
20	20.0	8.0	42.0	29.0	0
21	20.0	9.0	44.0	32.0	0
22	20.0	18.0	46.0	37.0	0
23	20.0	18.0	48.0	60.0	0
24	20.0	13.0	50.0	62.0	0
25	20.0	20.0	52.0	81.0	0
26	20.0	13.0	54.0	98.0	0
27	20.0	19.0	56.0	113.0	0
28	20.0	23.0	58.0	134.0	0
29	20.0	35.0	60.0	137.0	0
30	20.0	26.0	62.0	192.0	0
31	20.0	21.0	64.0	195.0	0
32	20.0	34.0	66.0	285.0	0
33	20.0	28.0	68.0	329.0	0
34	20.0	34.0	70.0	376.0	0
35	20.0	37.0	72.0	453.0	0
36	20.0	36.0	74.0	619.0	0
37	20.0	39.0	76.0	705.0	0
38	20.0	31.0	78.0	795.0	0
39	20.0	37.0	80.0	1049.0	0
40	20.0	37.0	82.0	1190.0	0
41	20.0	36.0	84.0	1443.0	0
42	20.0	52.0	86.0	1626.0	0
43	20.0	41.0	88.0	1970.0	0
44	20.0	56.0	90.0	2248.0	0
45	20.0	50.0	92.0	2438.0	0
46	20.0	68.0	94.0	2713.0	0
47	20.0	46.0	96.0	2882.0	0
48	20.0	45.0	98.0	3064.0	0
49	20.0	56.0	100.0	3204.0	0
50	20.0	63.0	102.0	3248.0	0
51	20.0	80.0	104.0	3293.0	0
52	20.0	70.0	106.0	3131.0	0
53	20.0	70.0	108.0	3076.0	0
54	20.0	74.0	110.0	2906.0	0
55	20.0	55.0	112.0	2583.0	0
56	20.0	70.0	114.0	2305.0	0
57	20.0	53.0	116.0	2141.0	0
58	20.0	70.0	118.0	1839.0	0
59	20.0	67.0	120.0	1544.0	0
60	20.0	64.0	122.0	1403.0	0
61	20.0	64.0	124.0	1238.0	0
62	20.0	84.0	126.0	1003.0	0
63	20.0	65.0	128.0	833.0	0
64	20.0	82.0	130.0	742.0	0
65	20.0	69.0	132.0	632.0	0
66	20.0	69.0	134.0	533.0	0
67	20.0	97.0	136.0	436.0	0
68	20.0	75.0	138.0	379.0	0
69	20.0	84.0	140.0	282.0	0
70	20.0	77.0	142.0	240.0	0
71	20.0	92.0	144.0	229.0	0
72	20.0	74.0	146.0	179.0	0
73	20.0	74.0	148.0	176.0	0
74	20.0	81.0	150.0	118.0	0
75	20.0	97.0	152.0	90.0	0
76	20.0	88.0	154.0	65.0	0
77	20.0	85.0	156.0	78.0	0
78	20.0	110.0	158.0	60.0	0
79	20.0	94.0	160.0	30.0	0
80	20.0	73.0	162.0	34.0	0
81	20.0	83.0	164.0	38.0	0
82	20.0	84.0	166.0	22.0	0
83	20.0	83.0	168.0	21.0	0
